study_hours_per_day,exercise_frequency,sleep_hours,attendance_percentage,extracurricular_participation_encoded,exam_score,exam_score_quantile
0.0,6,8.0,85.0,1,56.2,Q1_Low
6.9,6,4.6,97.3,0,100.0,Q4_High
1.4,1,8.0,94.8,0,34.3,Q1_Low
1.0,4,9.2,71.0,1,26.8,Q1_Low
5.0,3,4.9,90.9,0,66.4,Q2_Medium_Low
7.2,1,7.4,82.9,0,100.0,Q4_High
5.6,2,6.5,85.8,0,89.8,Q4_High
4.3,0,4.6,77.7,0,72.6,Q3_Medium_High
4.4,3,7.1,100.0,0,78.9,Q3_Medium_High
4.8,5,7.5,95.4,1,100.0,Q4_High
4.6,1,5.8,77.6,0,63.3,Q2_Medium_Low
3.9,2,7.9,71.7,0,74.4,Q3_Medium_High
3.7,1,4.5,81.1,0,76.9,Q3_Medium_High
3.4,4,4.7,89.3,0,75.8,Q3_Medium_High
2.4,6,6.7,87.4,0,78.9,Q3_Medium_High
3.1,6,6.5,97.5,0,74.0,Q3_Medium_High
1.0,3,5.6,92.9,1,55.2,Q1_Low
3.4,0,7.5,94.7,1,70.8,Q3_Medium_High
2.0,2,7.1,88.3,0,43.9,Q1_Low
1.8,1,7.5,71.1,0,45.3,Q1_Low
3.8,3,6.4,83.0,0,58.5,Q2_Medium_Low
5.6,1,7.2,95.6,0,82.5,Q4_High
4.9,3,6.0,84.5,0,98.7,Q4_High
1.1,6,9.0,90.0,0,43.7,Q1_Low
2.0,4,5.5,81.8,0,54.9,Q1_Low
4.9,1,9.0,74.7,1,69.9,Q2_Medium_Low
2.0,4,6.5,83.8,0,73.5,Q3_Medium_High
3.2,5,4.8,88.1,0,71.1,Q3_Medium_High
4.3,5,8.1,78.4,1,82.8,Q4_High
2.0,6,6.7,82.6,1,75.7,Q3_Medium_High
3.7,2,7.5,75.6,0,70.6,Q3_Medium_High
1.5,4,8.0,96.2,1,51.3,Q1_Low
2.6,3,6.9,82.1,0,52.1,Q1_Low
4.0,2,5.8,99.5,0,70.7,Q3_Medium_High
1.1,1,7.7,100.0,0,51.2,Q1_Low
4.2,1,6.5,84.2,0,72.6,Q3_Medium_High
3.5,3,7.3,74.9,0,70.7,Q3_Medium_High
4.3,0,3.9,64.1,0,59.4,Q2_Medium_Low
3.8,0,7.0,70.3,0,58.1,Q1_Low
5.5,1,5.7,71.3,0,82.3,Q4_High
3.7,6,8.5,98.8,0,69.7,Q2_Medium_Low
2.9,6,7.2,86.2,0,66.0,Q2_Medium_Low
3.7,3,6.8,88.9,1,63.5,Q2_Medium_Low
4.3,0,7.1,62.8,0,65.7,Q2_Medium_Low
3.6,4,5.3,73.0,0,78.5,Q3_Medium_High
3.6,1,8.4,93.9,1,75.1,Q3_Medium_High
2.4,5,8.9,87.9,1,71.0,Q3_Medium_High
2.5,4,7.0,83.5,1,59.7,Q2_Medium_Low
1.4,3,8.4,90.6,0,52.6,Q1_Low
6.1,5,5.8,100.0,0,96.5,Q4_High
1.6,4,5.5,82.8,1,62.0,Q2_Medium_Low
2.5,0,6.5,85.7,0,59.7,Q2_Medium_Low
2.4,6,7.0,86.9,0,48.4,Q1_Low
4.8,0,6.0,100.0,1,70.6,Q3_Medium_High
3.1,5,7.1,64.0,0,68.1,Q2_Medium_Low
5.4,2,6.9,91.8,0,87.2,Q4_High
2.5,6,5.3,83.9,0,66.7,Q2_Medium_Low
3.9,1,7.1,90.7,1,75.2,Q3_Medium_High
2.2,5,7.5,78.4,1,46.4,Q1_Low
6.7,3,6.7,84.5,1,97.1,Q4_High
1.7,1,7.9,92.1,0,61.2,Q2_Medium_Low
4.0,4,5.0,100.0,0,75.0,Q3_Medium_High
4.5,6,7.1,93.1,0,94.7,Q4_High
4.1,3,5.1,76.5,0,77.6,Q3_Medium_High
3.2,3,5.2,80.8,1,68.6,Q2_Medium_Low
3.3,0,5.7,80.5,0,69.6,Q2_Medium_Low
3.6,4,5.4,67.0,0,66.5,Q2_Medium_Low
3.3,0,5.8,81.7,0,62.2,Q2_Medium_Low
4.9,0,6.2,92.3,0,82.1,Q4_High
6.8,6,7.5,72.3,0,100.0,Q4_High
2.7,2,6.1,95.5,1,59.7,Q2_Medium_Low
1.4,0,4.6,89.9,1,55.1,Q1_Low
3.4,1,7.9,77.7,1,77.1,Q3_Medium_High
7.4,3,5.5,83.6,1,97.7,Q4_High
2.3,6,6.4,100.0,0,66.9,Q2_Medium_Low
6.0,0,7.0,92.3,1,99.9,Q4_High
6.0,5,6.7,85.1,1,100.0,Q4_High
2.7,1,7.8,82.6,0,57.2,Q1_Low
4.4,4,7.1,85.8,0,77.3,Q3_Medium_High
5.9,3,5.5,79.9,0,91.6,Q4_High
2.9,6,9.1,64.0,0,70.7,Q3_Medium_High
3.2,5,6.7,100.0,0,57.6,Q1_Low
2.6,6,6.3,86.6,0,60.2,Q2_Medium_Low
2.0,6,7.7,89.0,1,50.5,Q1_Low
2.5,5,6.8,84.4,0,51.3,Q1_Low
1.7,4,7.0,77.6,0,53.5,Q1_Low
3.6,5,9.5,83.1,0,79.2,Q3_Medium_High
