age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,exam_score,exam_score_quantile,cluster,cluster_kmeans
23,Female,0.0,1.2,1.1,No,85.0,8.0,Fair,6,Master,Average,56.2,Low,1,1
20,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,100.0,High,2,2
21,Male,1.4,3.1,1.3,No,94.8,8.0,Poor,1,High School,Poor,34.3,Low,3,3
23,Female,1.0,3.9,1.0,No,71.0,9.2,Poor,4,Master,Good,26.8,Low,1,1
19,Female,5.0,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,66.4,Medium-Low,3,3
24,Male,7.2,1.3,0.0,No,82.9,7.4,Fair,1,Master,Average,100.0,High,2,2
21,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2,Master,Poor,89.8,High,0,0
21,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair,0,Bachelor,Average,72.6,Medium-High,0,0
23,Female,4.4,2.2,1.7,No,100.0,7.1,Good,3,Bachelor,Good,78.9,Medium-High,2,2
18,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5,Bachelor,Good,100.0,High,2,2
19,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1,,Good,63.3,Medium-Low,3,3
23,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2,Bachelor,Average,74.4,Medium-High,2,2
19,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1,Bachelor,Good,76.9,Medium-High,0,0
19,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4,Bachelor,Good,75.8,Medium-High,3,3
24,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6,Bachelor,Average,78.9,Medium-High,2,2
21,Male,3.1,5.0,1.0,No,97.5,6.5,Good,6,High School,Average,74.0,Medium-High,3,3
20,Male,1.0,0.6,0.2,No,92.9,5.6,Poor,3,High School,Poor,55.2,Low,1,1
24,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0,High School,Average,70.8,Medium-High,1,1
24,Other,2.0,4.9,2.9,Yes,88.3,7.1,Good,2,High School,Good,43.9,Low,0,0
19,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1,High School,Average,45.3,Low,3,3
22,Female,3.8,2.3,2.9,No,83.0,6.4,Good,3,Master,Good,58.5,Medium-Low,3,3
21,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1,High School,Good,82.5,High,2,2
18,Other,4.9,2.3,0.6,No,84.5,6.0,Fair,3,High School,Average,98.7,High,2,2
24,Female,1.1,4.1,1.4,Yes,90.0,9.0,Fair,6,Bachelor,Good,43.7,Low,0,0
20,Female,2.0,0.0,0.9,Yes,81.8,5.5,Fair,4,Bachelor,Average,54.9,Low,0,0
22,Male,4.9,4.3,3.3,No,74.7,9.0,Fair,1,High School,Average,69.9,Medium-Low,1,1
22,Male,2.0,0.8,0.5,No,83.8,6.5,Good,4,Bachelor,Poor,73.5,Medium-High,3,3
18,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5,Bachelor,Average,71.1,Medium-High,0,0
24,Male,4.3,2.0,2.8,Yes,78.4,8.1,Good,5,High School,Poor,82.8,High,0,0
20,Female,2.0,3.2,3.8,Yes,82.6,6.7,Poor,6,High School,Poor,75.7,Medium-High,0,0
